col_0,col_1,col_2,col_3,col_4
101243,59,1,101242,101244
101244,291,1,101243,101245
101245,5001,1,101244,101246
101246,5002,1,101245,101247
101247,5003,1,101246,101248
101248,379,1,101247,101249
101249,380,1,101248,101250
101250,381,1,101249,101251
101251,215,1,101250,101252
101252,266,1,101251,101253
101253,267,1,101252,101254
101254,268,1,101253,101255
101255,430,1,101254,101256
101256,431,1,101255,101257
101257,432,1,101256,101258
101258,510,1,101257,101259
101259,511,1,101258,101260
101260,512,1,101259,101261
101261,297,1,101260,101262
101262,298,1,101261,101263
101263,299,1,101262,101264
101264,370,1,101263,101265
101265,371,1,101264,101266
101266,372,1,101265,101267
101267,426,1,101266,101268
101268,492,1,101267,101269
101269,493,1,101268,101270
101270,494,1,101269,101271
101271,335,1,101270,101272
101272,373,1,101271,101273
101273,374,1,101272,101274
101274,375,1,101273,101275
101275,363,1,101274,101276
101276,354,1,101275,101277
101277,383,1,101276,101278
101278,357,1,101277,102001
102001,10,2,101278,102002
102002,5,2,102001,102003
102003,24,2,102002,102004
102004,15,2,102003,102005
102005,18,2,102004,102006
102006,28,2,102005,102007
102007,29,2,102006,102008
102008,30,2,102007,102009
102009,21,2,102008,102010
102010,25,2,102009,102011
102011,26,2,102010,102012
102012,27,2,102011,102013
102013,31,2,102012,102014
102014,32,2,102013,102015
102015,33,2,102014,102016
102016,34,2,102015,102017
102017,35,2,102016,102018
102018,36,2,102017,102019
102019,37,2,102018,102020
102020,38,2,102019,102021
102021,39,2,102020,102022
102022,202,2,102021,102023
102023,203,2,102022,102024
102024,218,2,102023,102025
102025,207,2,102024,102026
102026,208,2,102025,102027
102027,219,2,102026,102028
102028,200,2,102027,102029
102029,201,2,102028,102030
102030,40,2,102029,102031
102031,41,2,102030,102032
102032,42,2,102031,102033
102033,209,2,102032,102034
102034,210,2,102033,102035
102035,250,2,102034,102036
102036,43,2,102035,102037
102037,44,2,102036,102038
102038,214,2,102037,102039
102039,45,2,102038,102040
102040,46,2,102039,102041
102041,47,2,102040,102042
102042,48,2,102041,102043
102043,281,2,102042,102044
102044,282,2,102043,102045
102045,283,2,102044,102046
102046,224,2,102045,102047
102047,225,2,102046,102048
102048,226,2,102047,102049
102049,227,2,102048,102050
102050,228,2,102049,102051
102051,229,2,102050,102052
102052,221,2,102051,102053
102053,222,2,102052,102054
102054,223,2,102053,102055
102055,103,2,102054,102056
102056,233,2,102055,102057
102057,234,2,102056,102058
102058,235,2,102057,102059
102059,257,2,102058,102060
102060,279,2,102059,102061
102061,280,2,102060,102062
102062,204,2,102061,102063
102063,205,2,102062,102064
102064,206,2,102063,102065
102065,100,2,102064,102066
102066,339,2,102065,102067
102067,340,2,102066,102068
102068,341,2,102067,102069
102069,410,2,102068,102070
102070,411,2,102069,102071
102071,412,2,102070,102072
102072,108,2,102071,102073
102073,420,2,102072,102074
102074,421,2,102073,102075
102075,422,2,102074,102076
102076,102,2,102075,102077
102077,329,2,102076,102078
102078,330,2,102077,102079
102079,331,2,102078,102080
102080,439,2,102079,102081
102081,440,2,102080,102082
102082,441,2,102081,102083
102083,469,2,102082,102084
102084,470,2,102083,102085
102085,471,2,102084,102086
102086,485,2,102085,102087
102087,486,2,102086,102088
102088,487,2,102087,102089
102089,498,2,102088,102090
102090,499,2,102089,102091
102091,500,2,102090,102092
102092,6,2,102091,102093
102093,7,2,102092,102094
102094,11,2,102093,102095
102095,12,2,102094,102096
102096,1,2,102095,102097
102097,2,2,102096,102098
102098,8,2,102097,102099
102099,9,2,102098,102100
102100,3,2,102099,102101
102101,4,2,102100,102102
102102,22,2,102101,102103
102103,23,2,102102,102104
102104,13,2,102103,102105
102105,14,2,102104,102106
102106,16,2,102105,102107
102107,17,2,102106,102108
102108,19,2,102107,102109
102109,20,2,102108,102110
102110,104,2,102109,102111
102111,107,2,102110,102112
102112,101,2,102111,102113
102113,255,2,102112,102114
102114,287,2,102113,102115
102115,259,2,102114,102116
102116,417,2,102115,102117
102117,418,2,102116,102118
102118,419,2,102117,102119
102119,276,2,102118,102120
102120,423,2,102119,102121
102121,424,2,102120,102122
102122,241,2,102121,102123
102123,316,2,102122,102124
102124,271,2,102123,102125
102125,319,2,102124,102126
102126,425,2,102125,102127
102127,479,2,102126,102128
102128,480,2,102127,102129
102129,481,2,102128,102130
102130,246,2,102129,102131
102131,292,2,102130,102132
102132,294,2,102131,102133
102133,295,2,102132,102134
102134,442,2,102133,102135
102135,443,2,102134,102136
102136,444,2,102135,102137
102137,472,2,102136,102138
102138,473,2,102137,102139
102139,474,2,102138,102140
102140,482,2,102139,102141
102141,483,2,102140,102142
102142,484,2,102141,102143
102143,495,2,102142,102144
102144,496,2,102143,102145
102145,497,2,102144,102146
102146,507,2,102145,102147
102147,508,2,102146,102148
102148,509,2,102147,102149
102149,458,2,102148,102150
102150,459,2,102149,102151
102151,460,2,102150,102152
102152,453,2,102151,102153
102153,454,2,102152,102154
102154,455,2,102153,102155
102155,489,2,102154,102156
102156,490,2,102155,102157
102157,491,2,102156,102158
102158,253,2,102157,102159
102159,254,2,102158,102160
102160,63,2,102159,102161
102161,64,2,102160,102162
102162,65,2,102161,102163
102163,305,2,102162,102164
102164,306,2,102163,102165
102165,307,2,102164,102166
102166,314,2,102165,102167
102167,315,2,102166,102168
102168,336,2,102167,102169
102169,337,2,102168,102170
102170,338,2,102169,102171
102171,317,2,102170,102172
102172,318,2,102171,102173
102173,269,2,102172,102174
102174,270,2,102173,102175
102175,288,2,102174,102176
102176,289,2,102175,102177
102177,290,2,102176,102178
102178,238,2,102177,102179
102179,249,2,102178,102180
102180,239,2,102179,102181
102181,248,2,102180,102182
102182,240,2,102181,102183
102183,247,2,102182,102184
102184,296,2,102183,102185
102185,397,2,102184,102186
102186,272,2,102185,102187
102187,274,2,102186,102188
102188,301,2,102187,102189
102189,285,2,102188,102190
102190,334,2,102189,102191
102191,242,2,102190,102192
102192,277,2,102191,102193
102193,344,2,102192,102194
102194,345,2,102193,102195
102195,256,2,102194,102196
102196,322,2,102195,102197
102197,427,2,102196,102198
102198,416,2,102197,102199
102199,429,2,102198,102200
102200,433,2,102199,102201
102201,465,2,102200,102202
102202,466,2,102201,102203
102203,457,2,102202,102204
102204,258,2,102203,102205
102205,275,2,102204,102206
102206,303,2,102205,102207
102207,358,2,102206,102208
102208,415,2,102207,102209
102209,355,2,102208,102210
102210,321,2,102209,102211
102211,325,2,102210,102212
102212,326,2,102211,102213
102213,413,2,102212,102214
102214,448,2,102213,102215
102215,449,2,102214,102216
102216,304,2,102215,102217
102217,252,2,102216,102218
102218,320,2,102217,102219
102219,308,2,102218,102220
102220,332,2,102219,102221
102221,251,2,102220,102222
102222,286,2,102221,102223
102223,310,2,102222,102224
102224,309,2,102223,102225
102225,311,2,102224,102226
102226,312,2,102225,102227
102227,313,2,102226,102228
102228,58,2,102227,102229
102229,333,2,102228,102230
102230,302,2,102229,102231
102231,456,2,102230,102232
102232,400,2,102231,102233
102233,501,2,102232,102234
102234,284,2,102233,102235
102235,230,2,102234,102236
102236,231,2,102235,102237
102237,232,2,102236,102238
102238,382,2,102237,102239
102239,356,2,102238,102240
102240,450,2,102239,102241
102241,451,2,102240,102242
102242,60,2,102241,102243
102243,59,2,102242,102244
102244,291,2,102243,102245
102245,5001,2,102244,102246
102246,5002,2,102245,102247
102247,5003,2,102246,102248
102248,379,2,102247,102249
102249,380,2,102248,102250
102250,381,2,102249,102251
102251,215,2,102250,102252
102252,266,2,102251,102253
102253,267,2,102252,102254
102254,268,2,102253,102255
102255,430,2,102254,102256
102256,431,2,102255,102257
102257,432,2,102256,102258
102258,510,2,102257,102259
102259,511,2,102258,102260
102260,512,2,102259,102261
102261,297,2,102260,102262
102262,298,2,102261,102263
102263,299,2,102262,102264
102264,370,2,102263,102265
102265,371,2,102264,102266
102266,372,2,102265,102267
102267,426,2,102266,102268
102268,492,2,102267,102269
102269,493,2,102268,102270
102270,494,2,102269,102271
102271,335,2,102270,102272
102272,373,2,102271,102273
102273,374,2,102272,102274
102274,375,2,102273,102275
102275,363,2,102274,102276
102276,354,2,102275,102277
102277,383,2,102276,102278
102278,357,2,102277,103001
103001,10,3,102278,103002
103002,5,3,103001,103003
103003,24,3,103002,103004
103004,15,3,103003,103005
103005,18,3,103004,103006
103006,28,3,103005,103007
103007,29,3,103006,103008
103008,30,3,103007,103009
103009,21,3,103008,103010
103010,25,3,103009,103011
103011,26,3,103010,103012
103012,27,3,103011,103013
103013,31,3,103012,103014
103014,32,3,103013,103015
103015,33,3,103014,103016
103016,34,3,103015,103017
103017,35,3,103016,103018
103018,36,3,103017,103019
103019,37,3,103018,103020
103020,38,3,103019,103021
103021,39,3,103020,103022
103022,202,3,103021,103023
103023,203,3,103022,103024
103024,218,3,103023,103025
103025,207,3,103024,103026
103026,208,3,103025,103027
103027,219,3,103026,103028
103028,200,3,103027,103029
103029,201,3,103028,103030
103030,40,3,103029,103031
103031,41,3,103030,103032
103032,42,3,103031,103033
103033,209,3,103032,103034
103034,210,3,103033,103035
103035,250,3,103034,103036
103036,43,3,103035,103037
103037,44,3,103036,103038
103038,214,3,103037,103039
103039,45,3,103038,103040
103040,46,3,103039,103041
103041,47,3,103040,103042
103042,48,3,103041,103043
103043,281,3,103042,103044
103044,282,3,103043,103045
103045,283,3,103044,103046
103046,224,3,103045,103047
103047,225,3,103046,103048
103048,226,3,103047,103049
103049,227,3,103048,103050
103050,228,3,103049,103051
103051,229,3,103050,103052
103052,221,3,103051,103053
103053,222,3,103052,103054
103054,223,3,103053,103055
103055,103,3,103054,103056
103056,233,3,103055,103057
103057,234,3,103056,103058
103058,235,3,103057,103059
103059,257,3,103058,103060
103060,279,3,103059,103061
103061,280,3,103060,103062
103062,204,3,103061,103063
103063,205,3,103062,103064
103064,206,3,103063,103065
103065,100,3,103064,103066
103066,339,3,103065,103067
103067,340,3,103066,103068
103068,341,3,103067,103069
103069,410,3,103068,103070
103070,411,3,103069,103071
103071,412,3,103070,103072
103072,108,3,103071,103073
103073,420,3,103072,103074
103074,421,3,103073,103075
103075,422,3,103074,103076
103076,102,3,103075,103077
103077,329,3,103076,103078
103078,330,3,103077,103079
103079,331,3,103078,103080
103080,439,3,103079,103081
103081,440,3,103080,103082
103082,441,3,103081,103083
103083,469,3,103082,103084
103084,470,3,103083,103085
103085,471,3,103084,103086
103086,485,3,103085,103087
103087,486,3,103086,103088
103088,487,3,103087,103089
103089,498,3,103088,103090
103090,499,3,103089,103091
103091,500,3,103090,103092
103092,6,3,103091,103093
103093,7,3,103092,103094
103094,11,3,103093,103095
103095,12,3,103094,103096
103096,1,3,103095,103097
103097,2,3,103096,103098
103098,8,3,103097,103099
103099,9,3,103098,103100
103100,3,3,103099,103101
103101,4,3,103100,103102
103102,22,3,103101,103103
103103,23,3,103102,103104
103104,13,3,103103,103105
103105,14,3,103104,103106
103106,16,3,103105,103107
103107,17,3,103106,103108
103108,19,3,103107,103109
103109,20,3,103108,103110
103110,104,3,103109,103111
103111,107,3,103110,103112
103112,101,3,103111,103113
103113,255,3,103112,103114
103114,287,3,103113,103115
103115,259,3,103114,103116
103116,417,3,103115,103117
103117,418,3,103116,103118
103118,419,3,103117,103119
103119,276,3,103118,103120
103120,423,3,103119,103121
103121,424,3,103120,103122
103122,241,3,103121,103123
103123,316,3,103122,103124
103124,271,3,103123,103125
103125,319,3,103124,103126
103126,425,3,103125,103127
103127,479,3,103126,103128
103128,480,3,103127,103129
103129,481,3,103128,103130
103130,246,3,103129,103131
103131,292,3,103130,103132
103132,294,3,103131,103133
103133,295,3,103132,103134
103134,442,3,103133,103135
103135,443,3,103134,103136
103136,444,3,103135,103137
103137,472,3,103136,103138
103138,473,3,103137,103139
103139,474,3,103138,103140
103140,482,3,103139,103141
103141,483,3,103140,103142
103142,484,3,103141,103143
103143,495,3,103142,103144
103144,496,3,103143,103145
103145,497,3,103144,103146
103146,507,3,103145,103147
103147,508,3,103146,103148
103148,509,3,103147,103149
103149,458,3,103148,103150
103150,459,3,103149,103151
103151,460,3,103150,103152
103152,453,3,103151,103153
103153,454,3,103152,103154
103154,455,3,103153,103155
103155,489,3,103154,103156
103156,490,3,103155,103157
103157,491,3,103156,103158
103158,253,3,103157,103159
103159,254,3,103158,103160
103160,63,3,103159,103161
103161,64,3,103160,103162
103162,65,3,103161,103163
103163,305,3,103162,103164
103164,306,3,103163,103165
103165,307,3,103164,103166
103166,314,3,103165,103167
103167,315,3,103166,103168
103168,336,3,103167,103169
103169,337,3,103168,103170
103170,338,3,103169,103171
103171,317,3,103170,103172
103172,318,3,103171,103173
103173,269,3,103172,103174
103174,270,3,103173,103175
103175,288,3,103174,103176
103176,289,3,103175,103177
103177,290,3,103176,103178
103178,238,3,103177,103179
103179,249,3,103178,103180
103180,239,3,103179,103181
103181,248,3,103180,103182
103182,240,3,103181,103183
103183,247,3,103182,103184
103184,296,3,103183,103185
103185,397,3,103184,103186
103186,272,3,103185,103187
103187,274,3,103186,103188
103188,301,3,103187,103189
103189,285,3,103188,103190
103190,334,3,103189,103191
103191,242,3,103190,103192
103192,277,3,103191,103193
103193,344,3,103192,103194
103194,345,3,103193,103195
103195,256,3,103194,103196
103196,322,3,103195,103197
103197,427,3,103196,103198
103198,416,3,103197,103199
103199,429,3,103198,103200
103200,433,3,103199,103201
103201,465,3,103200,103202
103202,466,3,103201,103203
103203,457,3,103202,103204
103204,258,3,103203,103205
103205,275,3,103204,103206
103206,303,3,103205,103207
103207,358,3,103206,103208
103208,415,3,103207,103209
103209,355,3,103208,103210
103210,321,3,103209,103211
103211,325,3,103210,103212
103212,326,3,103211,103213
103213,413,3,103212,103214
103214,448,3,103213,103215
103215,449,3,103214,103216
103216,304,3,103215,103217
103217,252,3,103216,103218
103218,320,3,103217,103219
103219,308,3,103218,103220
103220,332,3,103219,103221
103221,251,3,103220,103222
103222,286,3,103221,103223
103223,310,3,103222,103224
103224,309,3,103223,103225
103225,311,3,103224,103226
103226,312,3,103225,103227
103227,313,3,103226,103228
103228,58,3,103227,103229
103229,333,3,103228,103230
103230,302,3,103229,103231
103231,456,3,103230,103232
103232,400,3,103231,103233
103233,501,3,103232,103234
103234,284,3,103233,103235
103235,230,3,103234,103236
103236,231,3,103235,103237
103237,232,3,103236,103238
103238,382,3,103237,103239
103239,356,3,103238,103240
103240,450,3,103239,103241
103241,451,3,103240,103242
103242,60,3,103241,103243
103243,59,3,103242,103244
103244,291,3,103243,103245
103245,5001,3,103244,103246
103246,5002,3,103245,103247
103247,5003,3,103246,103248
103248,379,3,103247,103249
103249,380,3,103248,103250
103250,381,3,103249,103251
103251,215,3,103250,103252
103252,266,3,103251,103253
103253,267,3,103252,103254
103254,268,3,103253,103255
103255,430,3,103254,103256
103256,431,3,103255,103257
103257,432,3,103256,103258
103258,510,3,103257,103259
103259,511,3,103258,103260
103260,512,3,103259,103261
103261,297,3,103260,103262
103262,298,3,103261,103263
103263,299,3,103262,103264
103264,370,3,103263,103265
103265,371,3,103264,103266
103266,372,3,103265,103267
103267,426,3,103266,103268
103268,492,3,103267,103269
103269,493,3,103268,103270
103270,494,3,103269,103271
103271,335,3,103270,103272
103272,373,3,103271,103273
103273,374,3,103272,103274
103274,375,3,103273,103275
103275,363,3,103274,103276
103276,354,3,103275,103277
103277,383,3,103276,103278
103278,357,3,103277,104001
104001,10,4,103278,104002
104002,5,4,104001,104003
104003,24,4,104002,104004
104004,15,4,104003,104005
104005,18,4,104004,104006
104006,28,4,104005,104007
104007,29,4,104006,104008
104008,30,4,104007,104009
104009,21,4,104008,104010
104010,25,4,104009,104011
104011,26,4,104010,104012
104012,27,4,104011,104013
104013,31,4,104012,104014
104014,32,4,104013,104015
104015,33,4,104014,104016
104016,34,4,104015,104017
104017,35,4,104016,104018
104018,36,4,104017,104019
104019,37,4,104018,104020
104020,38,4,104019,104021
104021,39,4,104020,104022
104022,202,4,104021,104023
104023,203,4,104022,104024
104024,218,4,104023,104025
104025,207,4,104024,104026
104026,208,4,104025,104027
104027,219,4,104026,104028
104028,200,4,104027,104029
104029,201,4,104028,104030
104030,40,4,104029,104031
104031,41,4,104030,104032
104032,42,4,104031,104033
104033,209,4,104032,104034
104034,210,4,104033,104035
104035,250,4,104034,104036
104036,43,4,104035,104037
104037,44,4,104036,104038
104038,214,4,104037,104039
104039,45,4,104038,104040
104040,46,4,104039,104041
104041,47,4,104040,104042
104042,48,4,104041,104043
104043,281,4,104042,104044
104044,282,4,104043,104045
104045,283,4,104044,104046
104046,224,4,104045,104047
104047,225,4,104046,104048
104048,226,4,104047,104049
104049,227,4,104048,104050
104050,228,4,104049,104051
104051,229,4,104050,104052
104052,221,4,104051,104053
104053,222,4,104052,104054
104054,223,4,104053,104055
104055,103,4,104054,104056
104056,233,4,104055,104057
104057,234,4,104056,104058
104058,235,4,104057,104059
104059,257,4,104058,104060
104060,279,4,104059,104061
104061,280,4,104060,104062
104062,204,4,104061,104063
104063,205,4,104062,104064
104064,206,4,104063,104065
104065,100,4,104064,104066
104066,339,4,104065,104067
104067,340,4,104066,104068
104068,341,4,104067,104069
104069,410,4,104068,104070
104070,411,4,104069,104071
104071,412,4,104070,104072
104072,108,4,104071,104073
104073,420,4,104072,104074
104074,421,4,104073,104075
104075,422,4,104074,104076
104076,102,4,104075,104077
104077,329,4,104076,104078
104078,330,4,104077,104079
104079,331,4,104078,104080
104080,439,4,104079,104081
104081,440,4,104080,104082
104082,441,4,104081,104083
104083,469,4,104082,104084
104084,470,4,104083,104085
104085,471,4,104084,104086
104086,485,4,104085,104087
104087,486,4,104086,104088
104088,487,4,104087,104089
104089,498,4,104088,104090
104090,499,4,104089,104091
104091,500,4,104090,104092
104092,6,4,104091,104093
104093,7,4,104092,104094
104094,11,4,104093,104095
104095,12,4,104094,104096
104096,1,4,104095,104097
104097,2,4,104096,104098
104098,8,4,104097,104099
104099,9,4,104098,104100
104100,3,4,104099,104101
104101,4,4,104100,104102
104102,22,4,104101,104103
104103,23,4,104102,104104
104104,13,4,104103,104105
104105,14,4,104104,104106
104106,16,4,104105,104107
104107,17,4,104106,104108
104108,19,4,104107,104109
104109,20,4,104108,104110
104110,104,4,104109,104111
104111,107,4,104110,104112
104112,101,4,104111,104113
104113,255,4,104112,104114
104114,287,4,104113,104115
104115,259,4,104114,104116
104116,417,4,104115,104117
104117,418,4,104116,104118
104118,419,4,104117,104119
104119,276,4,104118,104120
104120,423,4,104119,104121
104121,424,4,104120,104122
104122,241,4,104121,104123
104123,316,4,104122,104124
104124,271,4,104123,104125
104125,319,4,104124,104126
104126,425,4,104125,104127
104127,479,4,104126,104128
104128,480,4,104127,104129
104129,481,4,104128,104130
104130,246,4,104129,104131
104131,292,4,104130,104132
104132,294,4,104131,104133
104133,295,4,104132,104134
104134,442,4,104133,104135
104135,443,4,104134,104136
104136,444,4,104135,104137
104137,472,4,104136,104138
104138,473,4,104137,104139
104139,474,4,104138,104140
104140,482,4,104139,104141
104141,483,4,104140,104142
104142,484,4,104141,104143
104143,495,4,104142,104144
104144,496,4,104143,104145
104145,497,4,104144,104146
104146,507,4,104145,104147
104147,508,4,104146,104148
104148,509,4,104147,104149
104149,458,4,104148,104150
104150,459,4,104149,104151
104151,460,4,104150,104152
104152,453,4,104151,104153
104153,454,4,104152,104154
104154,455,4,104153,104155
104155,489,4,104154,104156
104156,490,4,104155,104157
104157,491,4,104156,104158
104158,253,4,104157,104159
104159,254,4,104158,104160
104160,63,4,104159,104161
104161,64,4,104160,104162
104162,65,4,104161,104163
104163,305,4,104162,104164
104164,306,4,104163,104165
104165,307,4,104164,104166
104166,314,4,104165,104167
104167,315,4,104166,104168
104168,336,4,104167,104169
104169,337,4,104168,104170
104170,338,4,104169,104171
104171,317,4,104170,104172
104172,318,4,104171,104173
104173,269,4,104172,104174
104174,270,4,104173,104175
104175,288,4,104174,104176
104176,289,4,104175,104177
104177,290,4,104176,104178
104178,238,4,104177,104179
104179,249,4,104178,104180
104180,239,4,104179,104181
104181,248,4,104180,104182
104182,240,4,104181,104183
104183,247,4,104182,104184
104184,296,4,104183,104185
104185,397,4,104184,104186
104186,272,4,104185,104187
104187,274,4,104186,104188
104188,301,4,104187,104189
104189,285,4,104188,104190
104190,334,4,104189,104191
104191,242,4,104190,104192
104192,277,4,104191,104193
104193,344,4,104192,104194
104194,345,4,104193,104195
104195,256,4,104194,104196
104196,322,4,104195,104197
104197,427,4,104196,104198
104198,416,4,104197,104199
104199,429,4,104198,104200
104200,433,4,104199,104201
104201,465,4,104200,104202
104202,466,4,104201,104203
104203,457,4,104202,104204
104204,258,4,104203,104205
104205,275,4,104204,104206
104206,303,4,104205,104207
104207,358,4,104206,104208
104208,415,4,104207,104209
104209,355,4,104208,104210
104210,321,4,104209,104211
104211,325,4,104210,104212
104212,326,4,104211,104213
104213,413,4,104212,104214
104214,448,4,104213,104215
104215,449,4,104214,104216
104216,304,4,104215,104217
104217,252,4,104216,104218
104218,320,4,104217,104219
104219,308,4,104218,104220
104220,332,4,104219,104221
104221,251,4,104220,104222
104222,286,4,104221,104223
104223,310,4,104222,104224
104224,309,4,104223,104225
104225,311,4,104224,104226
104226,312,4,104225,104227
104227,313,4,104226,104228
104228,58,4,104227,104229
104229,333,4,104228,104230
104230,302,4,104229,104231
104231,456,4,104230,104232
104232,400,4,104231,104233
104233,501,4,104232,104234
104234,284,4,104233,104235
104235,230,4,104234,104236
104236,231,4,104235,104237
104237,232,4,104236,104238
104238,382,4,104237,104239
104239,356,4,104238,104240
