col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21
156,831,3,2,7,0,50,5,0,300,8,0,4,18,0,4000,11,0,10000,8,0,10
157,837,3,2,8,0,2,5,0,300,11,0,3000,8,0,3,12,0,1000,8,0,8
158,840,3,2,5,0,350,8,0,5,13,0,100,11,0,8000,12,0,1000,8,0,13
159,843,3,2,8,0,3,11,0,4000,7,0,80,8,0,3,5,0,400,8,0,10
160,846,2,2,5,0,300,8,0,3,4,0,1500,8,0,3,14,0,3000,8,0,8
161,849,1,2,8,0,3,5,0,230,11,0,3000,8,0,3,12,0,1000,8,0,8
162,852,3,2,5,0,250,8,0,5,12,0,2000,11,0,6000,14,0,4000,8,0,10
163,855,3,2,5,0,250,20,0,30000,11,0,7000,12,0,600,12,0,700,8,0,12
164,858,3,2,8,0,5,8,0,5,12,0,800,14,0,2000,12,0,1200,8,0,10
165,861,1,2,7,0,400,11,0,8000,12,0,500,12,0,500,12,0,700,8,0,15
166,864,3,2,5,0,200,20,0,8000,20,0,8000,11,0,5000,12,0,1200,8,0,20
167,867,1,2,6,0,2250,18,0,5000,11,0,7000,16,0,4000,14,0,2000,8,0,12
168,870,3,2,8,0,3,5,0,300,12,0,750,20,0,9000,8,0,12,11,0,10000
169,873,3,2,7,0,220,11,0,5000,12,0,300,12,0,400,12,0,500,8,0,15
170,876,1,2,5,0,350,8,0,5,12,0,1000,20,0,30000,14,0,5000,8,0,15
171,879,3,2,8,0,2,6,0,1070,5,0,260,12,0,2000,11,0,3000,8,0,12
172,882,1,2,6,0,550,8,0,3,20,0,22000,11,0,9000,12,0,1500,8,0,13
173,885,2,2,5,0,300,11,0,5000,12,0,100,12,0,400,12,0,600,8,0,14
174,888,1,2,8,0,6,12,0,1000,18,0,5000,20,0,35000,14,0,5000,8,0,13
175,891,3,2,5,0,200,8,0,5,12,0,1000,11,0,5000,14,0,1000,8,0,12
176,753,3,2,6,0,2000,11,0,5000,8,0,2,12,0,200,12,0,300,8,0,10
177,738,3,2,5,0,200,8,0,3,18,0,8000,11,0,5000,12,0,400,8,0,10
178,741,1,2,8,0,2,11,0,3000,13,1,200,12,0,200,12,0,200,8,0,11
179,708,1,2,8,0,1,13,1,10,12,1,90,8,0,2,14,0,400,8,0,10
180,681,1,2,6,0,1750,13,1,10,12,1,90,16,0,2000,3,0,1,8,0,12
181,771,1,2,8,0,2,12,0,300,11,0,5000,12,0,400,12,0,500,8,0,10
182,783,1,2,5,0,100,20,0,8000,20,0,8000,11,0,5000,12,0,1200,8,0,20
183,696,1,2,7,0,30,16,1,1000,13,1,10,14,0,400,3,0,1,8,0,13
184,729,1,2,7,0,200,11,0,5000,12,0,200,12,0,300,12,0,700,8,0,15
185,750,3,2,5,0,300,11,0,5000,12,0,100,12,0,400,12,0,600,8,0,12
186,768,1,2,5,0,300,12,0,400,11,0,5000,12,0,500,12,0,600,8,0,12
187,744,1,2,5,0,220,8,0,5,11,0,5000,12,0,400,12,0,600,8,0,10
188,798,1,2,8,0,5,8,0,5,12,0,800,14,0,1500,12,0,1000,8,0,10
189,786,1,2,5,0,300,8,0,5,12,0,1000,20,0,25000,14,0,2000,8,0,12
190,615,3,2,18,3,2000,13,3,30,18,0,3000,7,0,30,14,0,1000,8,0,16
191,894,3,2,6,0,300,5,0,100,8,0,1,11,0,5000,8,0,2,8,0,12
192,897,1,2,6,0,330,5,0,110,8,0,1,11,0,5100,8,0,2,8,0,12
193,900,3,2,6,0,360,5,0,120,8,0,1,11,0,5200,8,0,2,8,0,12
194,903,1,2,6,0,600,5,0,400,8,0,3,11,0,8000,8,0,5,8,0,14
195,906,1,2,6,0,450,5,0,300,8,0,2,11,0,3000,8,0,3,8,0,13
196,909,1,2,6,0,400,5,0,130,8,0,1,11,0,5300,8,0,2,8,0,12
197,912,3,2,6,0,430,5,0,140,8,0,1,11,0,5400,8,0,2,8,0,12
198,915,3,2,6,0,480,5,0,150,8,0,1,11,0,5500,8,0,2,8,0,12
199,918,1,2,6,0,900,5,0,600,8,0,3,11,0,15000,8,0,5,8,0,14
200,921,1,2,6,0,500,5,0,400,8,0,2,11,0,7500,8,0,3,8,0,13
201,924,2,2,6,0,520,5,0,160,8,0,1,11,0,5600,8,0,2,8,0,12
202,927,3,2,6,0,800,5,0,500,8,0,3,11,0,9000,8,0,5,8,0,14
203,930,2,2,6,0,700,5,0,450,8,0,2,11,0,4000,8,0,3,8,0,13
204,933,3,2,6,0,620,5,0,170,8,0,1,11,0,5700,8,0,2,8,0,12
205,936,3,2,6,0,640,5,0,180,8,0,1,11,0,5800,8,0,2,8,0,12
206,939,3,2,6,0,660,5,0,190,8,0,1,11,0,5900,8,0,2,8,0,12
207,942,3,2,6,0,680,5,0,200,8,0,1,11,0,6000,8,0,2,8,0,12
