col_0,col_1,col_2,col_3,col_4,col_5,col_6
1483,联运礼品数量不足，不能兑换,0,赠送失败,商品数量不足,该商品已经让您兑换完了,
1490,广告发布中，再次发布广告,0,车站广告发布失败,该站广告正在发布中。,一个车站内只能存在一个广告效果，请等待广告结束后，在发布新的广告。,
1500,车库上限,0,火车组装失败,火车车库空间已满。,请在主界面下方点击“火车车库”图标，进入”火车车库“界面内购买机车仓库位置。,
1501,因等级放不到站里,0,火车组装失败,机车太大了无法停靠小站。,二星机车可以停靠在450万人口以上的车站，三星机车可以停靠在800万人口以上的城市。,
1502,没有足够的配件,0,火车组装失败,火车配件不足，无法组装。,在大卖场部件商城里购买所需部件。,
1503,部件移除失败,1,机车拆解，数据错误,部件移除失败,可试试关闭游戏，重新进入。,
1600,机车不存在,1,机车封存，数据错误,封存的机车不存在,可试试关闭游戏，重新进入。,
1601,封存行驶中的火车,1,机车封存失败,火车正在行驶中，无法封存。,只能封存车站内停驶的火车。,
1602,退役的机车上有司机,0,机车退役失败,火车上还有司机，无法退役,请取下司机后，在退役机车。,
1700,车正在服役,0,火车拆解失败,不能拆解正在行驶中的火车,只能拆解空闲状态的火车。,
1701,不可拆解,0,火车拆解失败,特殊类型机车，无法被拆解,可试试关闭游戏，重新进入。,
1702,移除车失败,1,机车拆解，数据错误,拆解时，移除车失败,可试试关闭游戏，重新进入。,
1800,车站已经开启,1,机车启用，数据错误,车站已经开启,可试试关闭游戏，重新进入。,
1801,到达车库上限,0,机车启用失败,机车车库空间已满。,请在主界面下方点击“火车车库”图标，进入”火车车库“购买机车仓库位置,
1900,增值为0,1,机车充电，数据错误,数据错误，电力无法补充,可试试关闭游戏，重新进入。,
1901,加后还为0,1,机车充电，数据错误,数据错误，电力无法补充,可试试关闭游戏，重新进入。,
2000,初始化车站失败,1,购买车站，数据错误,初始化车站失败,可试试关闭游戏，重新进入。,
2001,等级不够时买车站,0,购买失败,车站数量达到当前等级上限,请提升人物等级，每提升两级增加一次开放车站的数量。,
2002,等级不到60级买欧亚车站,0,购买失败,人物等级不符合购买条件,请提升个人等级，达到60级后才能购买国外车站。,
2003,等级不到90级买J国A国车站,0,购买失败,游戏等级不符合购买条件,请提升游戏等级，达到90级后才能购买J国A国车站。,
2050,等级不到60级不能挑战欧亚BOSS,0,挑战失败,个人等级不符合挑战条件,请提升个人等级，达到60级后才能挑战,
2051,等级不到90级不能挑战美洲BOSS,0,挑战失败,个人等级不符合挑战条件,请提升个人等级，达到90级后才能挑战,
2100,正在驶入,0,车站出售失败,还有火车未到站。,停靠车站无法出售，请等待火车均到站后再出售。,
2101,有车在本站,0,车站出售失败,车站内还有停靠的火车。,不能出售有火车停靠的车站,
2102,中转站被占用,0,车站出售失败,还有火车经过该站。,中转车站无法出售，请等待火车均到站后再出售。,
2103,升级过程中出售车站,0,车站出售失败,车站正在升级中，无法出售。,请等待升级完成后在进行操作。,
2104,出售正在行驶机车的起点站,0,车站出售失败,车站正在使用中，无法出售。,"您出售的车站被作为发车站,中转站或者终点站，请等待火车到站后在出售车站。",
2105,车站未开通,0,报名失败,车站未开通,,
2106,卖掉最后2个车站,0,关闭车站失败,无法关闭全部车站,至少需要保留两个有客流的车站,
2200,没有在升级,0,升级加速失败,车站不在升级中，不能加速。,只能加速升级中的车站。,
2300,正在升级,0,车站升级失败,车站正在升级中，不连续升级。,请等待升级完成后在进行操作，或加速升级。,
2301,最大等级,0,车站升级失败,你的车站已达到最高等级。,无法继续升级。,
2302,买车还拿钱,1,,,,
2400,无法找到好友事件,1,好友事件，数据错误,无法找到好友事件,详情见游戏论坛,
2500,没有找到指定的部件,1,机车拆解，数据错误,没有找到指定的部件,详情见游戏论坛,
2600,任务尚未完成,1,任务数据错误,任务尚未完成,详情见游戏论坛,
2601,任务不在进行中,1,任务数据错误,任务不在进行中,详情见游戏论坛,
2602,当天开通黄钻无法领取黄钻奖励,0,领取失败,每日奖励，暂时无法领取。,0点过后，在使用该功能。,
2620,没有领到这轮的日常任务,1,本轮日常任务奖励领取失败,没有领到这轮的日常任务,详情见游戏论坛,
2621,没完成这轮的日常任务就领奖,0,日常任务奖励领取失败,亲~！你本轮还有日常任务没有完成。,请完成本轮所有日常任务后，在领取奖励。,
2700,联盟管理过期,0,联盟使用时间到期,联盟部分功能被禁用,请为联盟续费后，才能继续使用联盟功能。,
2701,已经在联盟中,0,邀请失败,该玩家已有联盟，无法接受邀请。,详情见游戏论坛,
2702,等级不足时创建联盟,1,创建或加入联盟失败,等级不够，无法创建或加入联盟,需要个人等级达到10级，才能创建或加入联盟。,
2710,自己不是联盟长,0,操作失败,只有联盟长才可以进行此操作,,
2711,自己不是联盟长或管理员,0,操作失败,只有联盟长或管理员才可以进行此操作,,
2712,对方不是联盟长,0,邀请失败,对方不是联盟长,请您核对公司号是否正确,
2713,对方不是联盟长或管理员,0,操作失败,对方不是联盟长或管理员,请您核对公司号是否正确,
2722,可接收数量满了,0,操作失败,该玩家本周接受礼物数量已满,每周竞技赛商店礼物只能接受三个,
2723,不能送自己,0,操作失败,无法赠送给自己,给自己请点击购买商品,
2800,联盟加入关闭,0,申请联盟失败,盟主已关闭了联盟申请,详情见游戏论坛,
2801,不能加入?,1,申请加入联盟失败,加入联盟未知错误,详情见游戏论坛,
2802,加入联盟未知错误,1,申请加入联盟失败,加入联盟未知错误,详情见游戏论坛,
2803,加入联盟不足5天,0,操作失败,您加入联盟不足5天,请过几天再来,
2900,联盟满,0,添加联盟成员失败,联盟人数已满,需要扩充联盟规模,
3100,选择了错误的联盟上限,1,联盟扩充失败,选择了错误的联盟上限,请选择其他联盟,
3150,没有足够的贡献分下注,0,下注失败,联盟贡献分不足,无法下注,
3151,停赛阶段,0,今天是停赛日,没有比赛观看,请明天再来,
3152,没有参赛资格不在比赛中,0,没有比赛资格,无法进行比赛,请参加下一轮比赛,
3153,不在下注时间内下注,0,下注失败,每天下注时间00:00-22:00,请在每天22点前完成下注,
3200,邀请加入联盟失败的提示,0,邀请失败,该玩家已有联盟，无法接受邀请。,详情见游戏论坛,
3201,联盟长邀请不在线的玩家,0,邀请失败,你邀请的玩家不在线。,只能邀请在线状态的玩家,
3202,联盟长邀请不存在的玩家,0,邀请失败,没有找到你邀请的玩家,该玩家不存在，请检查你邀请时填写的公司编号是否正确。,
3300,"结算日, 无比赛",1,天梯赛无法获得对手,"结算日, 无比赛。",详情见游戏论坛,
3301,没有参加本轮比赛,1,天梯赛无法获得对手,你没有参加这轮比赛。,详情见游戏论坛,
3302,天梯赛重复报名,0,天梯赛报名失败,亲！你已报了下一轮天梯赛。,无法重复报名，下一轮天梯赛开始时，才能继续报名。,
3400,联盟名称重复,0,创建联盟失败,这个联盟名称已经存在。,请更换其他联盟名称。,
3401,没有起名字就创建联盟,0,创建联盟失败,你还没有为联盟起名字。,联盟名字不能为空。,
3700,电池不够了,0,发车失败,剩余电池数量不足,请到商城中购买电池在进行发车,
3800,不是梦想职业也没有自动发车技能,1,自动发车失败,没有满足自动发车条件,只符合梦想机车条件和自动发车技能的司机才能使用自动发车,
3801,自动发车站点不够两个,1,自动发车失败,没有满足自动发车条件,请选择两个以上的站点才能使用自动发车功能,
3802,司机到期后使用自动发车,0,自动发车失败,由于你未能及时支付司机工资,司机已罢工，请支付工资后再使用自动发车功能,
3803,不是梦想职业也没有自动发车技能,1,自动发车失败,没有满足自动发车条件,只符合梦想机车条件和自动发车技能的司机才能使用自动发车,
3804,解雇正在车上的司机,1,解雇司机失败,司机正在机车上工作无法解雇,只能解雇处于“司机仓库”中的司机,
3805,操作车上司机司机不在车上,1,司机下岗失败,司机不再车上,请刷新页面，重新操作,
3806,操作车上司机还要求上车,1,司机上岗失败,司机已经在车上,请选择其他没有上车的司机,
3808,岗位满了还继续上岗,0,司机上岗失败,岗位已经满了,请扩充司机岗位,
3809,机车行驶中操作司机,0,操作失败,机车正在行驶中无法操作司机,请等待机车到站后在进行操作,
3810,将司机安置在没有启用的车上,1,司机上岗失败,这辆机车没有启用,无法安置司机,
3811,车上有司机，还要放司机,0,司机上岗失败,车上已经有司机了,请选择没有安置司机的机车,
3812,司机在车上，重置梦想职业,0,重置梦想职业失败,司机还在车上，无法重置梦想职业,只能重置没有上车的司机,
3813,选择了已经有工作，上车,0,司机上车失败,这个司机已经有工作了,请选择没有工作的司机,
3814,扩展槽几率失败,0,很遗憾！技能槽扩充失败,亲！运气不佳哦。,继续积攒RP啊，不要灰心，请继续扩充。,
3815,升级技能几率失败,0,很遗憾！技能升级失败,亲！运气不佳哦。,继续积攒RP啊，不要灰心，请继续升级。,
3816,获得技能槽数失败,1,技能槽数量错误,技能槽数据错误,请联系客服帮您处理这个问题,
3817,技能槽满了,0,技能槽达到最高上限,无法继续扩充,请选择其他司机进行扩充,
3818,对正车上的司机进行改造,0,司机改造失败,司机正在机车上工作无法操作,司机下车后才能进行技能槽扩充，技能升级，技能重置,
3820,司机技能等级达到最高级,0,技能等级达到最高上限,无法继续升级,请选择其他技能进行升级,
3821,没有技能槽,0,更改技能需要先扩充技能槽,没有空余技能槽,请先扩充技能槽,
3822,技能已存在,0,司机已经有这个技能了,已有技能,请选择其他技能,
3823,技能不存在,0,这个技能不存在,数据错误,技能不存在,
4000,输入密码错误,0,密码错误,请输入正确的密码,连续输入10次错误的密码，此功能将会锁定30分钟。,
4001,连续输入错误密码被锁定,0,密码被锁定,由于连续输入10次错误密码,此功能将锁定30分钟，请30分钟后再尝试。,
4002,两次输入的新密码不一致,0,密码修改失败,两次输入的新密码不一致,新密码和新密码确认中输入的密码必须一致，才能修改成功,
4003,密码没填是空的,0,密码错误,密码不能为空,密码不能空着，密码只能是四位阿拉伯数字,
4200,声望不足时够买商品,0,兑换失败,你的当前的声望点不足,无法兑换声望物品,
4210,超载等级达到上限,0,超载失败,超载等级已达到上限,无法升级，请提升超载等级上限在进行升级,
4211,未选择超载技能进行升级,0,超载失败,未选择超载技能,至少选择一项超载技能才能进行升级,
4212,23:55-00:00之间超载,0,超载失败,机车正在保养中无法超载,请等到在每天00:00--23:55之间进行超载升级,
4220,进化等级达到上限,0,进化失败,进化等级已达到上限,无法升级，请提升进化等级上限在进行升级,
4230,材料不足,0,操作失败,机车材料数量不足,请收集足够的机车材料在进行操作,
4231,车队等级不足6级,0,升级失败,车队达到6级才能进行超载或进化,请将车队等级提升至6级,
4232,机车运行中无法修改,0,升级失败,机车运行中无法修改,,
4233,机车不在服役中超载进化,1,升级失败,机车不在服役中,无法进行超载进化,
4300,参与合成的两个车ID不一样,0,车队合成失败,参与合成的机车型号不一样,请选择相同型号的机车进行合成,
4301,合成的车正在服役中,1,车队合成失败,参与合成的机车数据错误,请联系客服帮您处理这个问题,
4302,参与合成的两个车车队等级不同,0,车队合成失败,参与合成的机车车队等级不一样,请选择相同型号并且相同车队等级的机车进行合成,
4303,随机到失败几率，合成失败,1,车队合成失败,运气不佳,继续积攒RP，成功在向你招手,
4304,车队达到最大等级,0,合成失败,车队已经满级，无法继续合成,请等待以后开放新的等级上限,
4305,合成车队时车厢等级不符合,0,车队合成失败,主车和副车的车厢等级不一样,请选择相同车厢的机车进行合成,
4306,6级车队只能服役1辆,0,机车服役失败,车站中存在同型号机车的6级车队,同型号机车的6级车队是唯一的，车站中只能服役一辆,
4320,参与强化的车厢总数超过10个,0,车厢强化失败,当前参与强化的车厢总数,已经超过10级，请更换机车，车厢总数不得超过10个,
4321,车厢已经满级,0,车厢强化失败,车厢已经满级，无法继续合成,请等待以后开放新的等级上限,
4322,参与强化的车队等级不通,0,车厢强化失败,只有相同等级的车队才能进行车厢强化,请选择相同等级的车队进行强化,
4323,强化车厢机车类型不同,0,车厢强化失败,参与强化的机车型号不一样,请选择相同型号的机车进行强化,
4324,此车不能强化车厢,0,车厢强化失败,这个型号的机车无法强化车厢,请选择其他车型进行车厢强化,
4400,博物馆放错车了,1,放置机车失败,放置的不是展台所需车型,请选择对应车型进行放置,
4500,商品卖光了,0,购买失败,这件商品已经卖光了,请下周同一星期天再来抢购,
4501,每天19:50-20:00不能购买,0,购买失败,商店正在备货中无法购买,每天晚上20点正式营业,
4502,商品换了原来的已经不存在,0,购买失败,你购买的商品不存在,请重新打开界面刷新商品,
4503,购买流程没结束，再次购买,1,购买失败,订单正在处理中,请稍后再试,
4600,投注名额满了,0,投注失败,投注名额已满,请在下轮参加投注,
4601,备货中不能购买,0,投注失败,商品正在备货中无法投注,请带等待下轮在进行投注,
4602,没有这个商品不能投注,1,投注失败,商品不存在无法投注,请刷新页面，重新操作,
4603,积分不够不能购买,0,兑换失败,你的积分不足，无法兑换,参与幸运商店的投注可以获得积分,
4604,正在结算中不能投注,0,投注失败,正在结算中无法投注,请在下轮参加投注,
4620,没有可购买的折扣券,0,购买失败,没有可购买的折扣券,,
