col_0,col_1,col_2,col_3,col_4
38,E655皇室专列客货型*4辆,15911,2210000,1
39,2019万圣节涂装客货型*4辆,15910,3120000,1
40,THSR 700T客货型*4辆,15909,3120000,1
41,2020元旦涂装客货型*4辆,15908,3120000,1
42,2019中秋涂装客货型*4辆,15907,3120000,1
43,2019八一涂装客货型*4辆,15906,3120000,1
44,2020五一涂装客货型*4辆,15905,3120000,1
45,2020鼠年涂装客货型*4辆,15904,3120000,1
46,水晶景观客货型*2辆,15903,3640000,1
47,JR九州某列车客货型*2辆,15902,3640000,1
48,熊猫空铁客货型*2辆,15901,3640000,1
49,E353系超级梓号客货型*2辆,15900,3640000,1
50,2020端午节涂装客货型*2辆,15899,3640000,1
51,CRH2-043A动车组涂装客货型*2辆,15898,3640000,1
52,长沙磁悬浮客货型*2辆,15897,3640000,1
53,2019国庆涂装客货型*1辆,15896,3900000,1
54,九州七星号客货型*1辆,16601,3900000,1
55,雪月花号客货型*1辆,16602,3900000,1
56,阿苏男孩号客货型*1辆,16603,3900000,1
57,2020圣诞节涂装客货型*1辆,16604,3900000,1
58,洲际高速列车客货型*1辆,16605,3900000,1
59,HXN5320内燃机车客货型*1辆,16606,3900000,1
60,特急Revaty500客货型*1辆,16607,3900000,1
61,仙后座号高速列车客货型*1辆,16608,3900000,1
62,跨国互联互通高速列车客货型*1辆,16609,3900000,1
63,CR300BF蓝色涂装客货型*1辆,15895,3900000,1
64,四季岛号客货型*1辆,15894,3900000,1
65,2020中秋涂装高速列车客货型*1辆,16610,6500000,1
66,陕煤号电力机车客货型*1辆,16611,6500000,1
67,2021中秋涂装客货型*1辆,16612,6500000,1
68,中国磁悬浮实验型客货型*1辆,16613,6500000,1
69,2021牛年生肖客货型*1辆,16614,6500000,1
70,2021国庆涂装客货型*1辆,16615,6500000,1
71,五菱宏光MINIEV客货型*1辆,16616,6500000,1
72,红巨人铁路救援起重机客货型*1辆,16617,6500000,1
73,中国磁悬浮国庆涂装客货型*1辆,15893,6500000,1
74,HXN5C内燃机车客货型*1辆,17817,6500000,1
75,天狼星号客货型*1辆,17818,6500000,1
76,2021圣诞节号客货型*1辆,17819,6500000,1
77,神崋号电力机车客货型*1辆,17820,6500000,1
78,小玉号电力机车客货型*1辆,17821,6500000,1
79,费城不锈钢双层列车客货型*1辆,17822,6500000,1
80,埃维利亚自由号客货型*1辆,17823,6500000,1
81,蒙特利尔双层客货型*1辆,17824,6500000,1
82,光明线号客货型*1辆,17825,6500000,1
83,INDIAN-PACIFIC号客货型*1辆,17826,6500000,1
84,冰川列车客货型*1辆,17827,6500000,1
85,机电混动力调车客货型*1辆,17828,6500000,1
86,2022圣诞节涂装客货型*1辆,17829,6500000,1
87,中速磁悬浮客货型*1辆,17830,6500000,1
88,秦旅山海号客货型*1辆,17831,6500000,1
89,兴国号客货型*1辆,17832,6500000,1
90,中国龙中速磁悬浮客货型*1辆,17833,6500000,1
91,2022虎年涂装客货型*1辆,17834,6500000,1
92,TGV PSE 客货型*1辆,17835,6500000,1
93,2022国庆涂装客货型*1辆,17836,6500000,1
94,2023兔年涂装客货型*1辆,17837,6500000,1
95,雪国列车客货型*1辆,15892,6500000,1
96,2023五一涂装客货型*1辆,20490,6500000,1
97,小田急70000客货型*1辆,20491,6500000,1
98,纳帕酒乡火车客货型*1辆,20492,6500000,1
99,清远磁悬浮列车客货型*1辆,20493,6500000,1
100,瑞雪迎春复兴号客货型*1辆,20494,6500000,1
101,36+3特快列车客货型*1辆,20495,6500000,1
102,极光夜高速列车客货型*1辆,20496,6500000,1
103,英国皇家号列车客货型*1辆,20497,6500000,1
104,新型2ES7电力机车客货型*1辆,20498,6500000,1
105,西门子Desiro HC双层列车客货型*1辆,20499,6500000,1
106,2024龙年涂装客货型*1辆,20500,6500000,1
107,悉尼双层列车客货型*1辆,20501,6500000,1
108,必和必拓铁矿火车客货型*1辆,20502,6500000,1
109,波兰 Impuls2列车客货型*1辆,20503,6500000,1
110,伯尔尼纳快车客货型*1辆,20504,6500000,1
111,富士山观景特快列车客货型*1辆,20505,6500000,1
112,澜沧号动车客货型*1辆,20506,6500000,1
113,钢轨打磨车客货型*1辆,20507,6500000,1
114,莫斯科2020列车客货型*1辆,20508,6500000,1
115,EMD AEM-7型电力机车客货型*1辆,20509,6500000,1
116,400系新型电车客货型*1辆,20510,6500000,1
117,Travca机车客货型*1辆,20511,6500000,1
118,玲龙号磁浮列车客货型*1辆,20512,6500000,1
119,瑞士联邦铁路 BR193客货型*1辆,20513,6500000,1
120,AeroLiner3000客货型*1辆,20514,6500000,1
121,2025蛇年涂装客货型*1辆,20515,6500000,1
122,俄罗斯ESh2客货型*1辆,20516,6500000,1
123,飞龙复兴号客货型*1辆,20517,6500000,1
124,金色山口列车客货型*1辆,20518,6500000,1
125,KCIC400AF动车组客货型*1辆,20519,6500000,1
126,欧洲之星城际列车客货型*1辆,20520,6500000,1
127,孔雀石3ES8型电力机车客货型*1辆,20521,6500000,1
