分组字段原值,配置数量,载具ID,载具名称
235,3,"233,234,235",欧亚之星客运型 / 欧亚之星货运型 / 欧亚之星客货型
238,2,"238,249",韶山8客货运型 / 韶山8货运型
239,2,"239,248",韶山7E客货运型 / 韶山7E货运型
240,2,"240,247",DJ4客货运型 / DJ4货运型
241,2,"241,246",神州客货运型 / 神州货运型
242,2,"242,243",CRH5客货运型 / CRH5货运型
244,3,"244,245,300",CRH380A客货型 / CRH380A货运型 / CRH380A客运型
255,3,"253,254,255",大男孩客运型 / 大男孩货运型 / 大男孩客货型
256,3,"256,274,301",运20实验客货机 / 运20列装客货机 / 运20元宵客货机
257,3,"257,279,280",M497客货运型 / M497客运型 / M497货运型
258,1,258,美食火车单节版
259,1,259,美食火车双节版
268,3,"266,267,268",CRH3红旗客运型 / CRH3红旗货运版 / CRH3红旗客货型
271,3,"269,270,271",TGV熊猫客运型 / TGV熊猫货运型 / TGV熊猫客货型
272,2,"272,273",神州万圣节客货 / 神州万圣节货运
275,1,275,美食火车四节客货型
276,1,276,野鸭号客货型
277,3,"277,344,345",庐山号客货型 / 庐山号客运型 / 庐山号货运型
278,1,278,木星客货型
283,3,"281,282,283",英铁220客运型 / 英铁220货运型 / 英铁220客货型
284,1,284,GE_p42D客货型
285,1,285,庐山圣诞客货型
286,1,286,TRAXX客货型
287,1,287,大黄鸭客货型
290,3,"288,289,290",NZJ1型客运型 / NZJ1型货运型 / NZJ1型客货型
291,1,291,TMST春节客货型
292,3,"292,294,295",NZJ1春节客货型 / NZJ1春节客运型 / NZJ1春节货运型
293,1,293,JR磁悬浮客货型
296,1,296,NJ2春节客货型
299,3,"297,298,299",韩国KTX客运型 / 韩国KTX货运型 / 韩国KTX客货型
302,1,302,英铁43客货型
304,1,304,新干线300客货型
307,3,"305,306,307",圣诞版AVE客运型 / 圣诞版AVE货运型 / 圣诞版AVE客货运型
308,1,308,英铁47型柴油机车客货型
309,1,309,德铁103电力客货型
310,1,310,Alco_PA_1柴油机车客货型
313,3,"311,312,313",德国Class1020电力机车客运型 / 德国Class1020电力机车货运型 / 德国Class1020电力机车客货型
316,3,"314,315,316",Regina电力客运型 / Regina电力货运型 / Regina电力客货型
319,3,"317,318,319",环球8000客运型 / 环球8000货运型 / 环球8000客货型
320,3,"320,327,328",欧洲之星客货型 / 欧洲之星客型 / 欧洲之星货型
321,3,"321,325,326",新干线猫耳朵客货型 / 新干线猫耳朵客型 / 新干线猫耳朵货型
322,3,"322,323,324",和谐号CRH6客货型 / 和谐号CRH6客型 / 和谐号CRH6货型
329,3,"329,330,331",大白鲨系列客货型 / 大白鲨系列客运型 / 大白鲨系列货运型
332,1,332,B24远程轰炸机客货型
333,1,333,图2远程轰炸机客货型
334,1,334,轰6远程轰炸机客货型
335,1,335,图22烈火轰炸机客货型
338,3,"336,337,338",美国MP36PH_3S客运型 / 美国MP36PH_3S货运型 / 美国MP36PH_3S客货型
341,3,"339,340,341",KTX五一客型 / KTX五一货型 / KTX五一客货
354,1,354,ICE-3客货型
355,1,355,韩国HEMU-430X客货型
356,3,"356,450,451",英铁90型电机客货型 / 英铁90型电机客运型 / 英铁90型电机货运型
357,1,357,Russia One机车客货型
358,1,358,Kiha281柴油动车客货型
363,1,363,美国P42DC柴电机车客货型
372,3,"370,371,372",陆地巡洋舰装甲列车客运型 / 陆地巡洋舰装甲列车货运型 / 陆地巡洋舰装甲列车客货运型
375,3,"373,374,375",企业号宇宙战舰客运型 / 企业号宇宙战舰货运型 / 企业号宇宙战舰客货运型
378,3,"376,377,378",DD磁悬浮红旗版客运型 / DD磁悬浮红旗版货运型 / DD磁悬浮红旗版客货型
381,3,"379,380,381",MPIMPXpress柴电机车客运型 / MPIMPXpress柴电机车货运型 / MPIMPXpress柴电机车客货型
382,1,382,宾夕法尼亚GG1电力机车客货型
383,1,383,德国ICE-1客货型
388,2,"388,389",DD磁悬浮八一涂装版客货型 / DD磁悬浮八一涂装版货型
391,2,"391,392",轰六中型轰炸机客货运型 / 轰六中型轰炸机货运型
394,1,394,Italo伊塔洛客货型
397,1,397,运8运输机客货型
400,1,400,美国Acela客货型
412,3,"410,411,412",XC36客运型 / XC36货运型 / XC36客货型
413,3,"413,448,449",小田急7000客货型 / 小田急7000客运型 / 小田急7000货运型
414,1,414,庞巴迪TALENT客货型
415,1,415,JR500电力机车客货型
416,1,416,台铁TEMU2000客货型机车
419,3,"417,418,419",CKD9B柴油机车客型 / CKD9B柴油机车货型 / CKD9B柴油机车客货型
422,3,"420,421,422",欧洲之星美洲版客型 / 欧洲之星美洲版货型 / 欧洲之星美洲版客货型
425,3,"423,424,425",英铁374电力动车客运 / 英铁374电力动车货运 / 英铁374电力动车客货运
426,1,426,图4轰炸机客货型
427,1,427,CIT500客货型
428,1,428,新干线Win350客货型
429,1,429,春城号客货型
432,3,"430,431,432",轰5轰炸机客型 / 轰5轰炸机货型 / 轰5轰炸机客货型
433,3,"433,465,466",HXN5型抗战纪念客货型 / HXN5型抗战纪念客型 / HXN5型抗战纪念货型
438,1,438,新干线E7客货型
439,3,"439,440,441",晋龙号中秋版客货型 / 晋龙号中秋版纯客型 / 晋龙号中秋版纯货型
442,3,"442,443,444",中原之星国庆版客货型 / 中原之星国庆版纯客型 / 中原之星国庆版纯货型
445,1,445,ETS动车客货型
446,2,"446,447",水星号客货型 / 水星号客运型
452,1,452,特急Rapi.t新吉恩版客货型
455,3,"453,454,455",日本国铁机器猫客型 / 日本国铁机器猫货型 / 日本国铁机器猫客货型
456,1,456,嗨贼狗头版客货型
457,1,457,寰宇之星国旗版客货型
460,3,"458,459,460",ETS圣诞版客型 / ETS圣诞版货型 / ETS圣诞版客货型
461,3,"461,467,468",JR九州787特急客货型  / JR九州787特急客型  / JR九州787特急货型 
462,1,462,意大利客货型
463,1,463,CRH5玫瑰号客货型
464,1,464,小田急元宵涂装客货型
471,3,"469,470,471",春城号猴年新春版客型 / 春城号猴年新春版货型 / 春城号猴年新春版客货型
474,3,"472,473,474",窜天猴吉祥号客运型 / 窜天猴吉祥号货运型 / 窜天猴吉祥号客货型
475,1,475,岛风近铁电车客货型
478,3,"476,477,478",HXN5型内燃机车客型 / HXN5型内燃机车货型 / HXN5型内燃机车客货型
481,3,"479,480,481",SJ2000客型 / SJ2000货型 / SJ2000客货型
484,3,"482,483,484",晋龙号客型 / 晋龙号货型 / 晋龙号客货型
487,3,"485,486,487",中原之星客型 / 中原之星货型 / 中原之星客货型
488,1,488,由布院之森客货型
491,3,"489,490,491",甲铁城蒸汽列车客型 / 甲铁城蒸汽列车货型 / 甲铁城蒸汽列车客货型
494,3,"492,493,494",意大利ETR500客型 / 意大利ETR500货型 / 意大利ETR500客货型
497,3,"495,496,497",CR400AF奥运涂装客型 / CR400AF奥运涂装货型 / CR400AF奥运涂装客货型
500,3,"498,499,500",CR400AF八一涂装客运型 / CR400AF八一涂装货运型 / CR400AF八一涂装客货型
501,1,501,狗头版客货型
502,1,502,新干线EVA客货型
503,1,503,ITX新村号客货型
406,1,506,CR400AF中秋月涂装客货型
509,3,"507,508,509",CR400BF国庆涂装客运型 / CR400BF国庆涂装货运型 / CR400BF国庆涂装客货型
512,3,"510,511,512",CR400AF客型 / CR400AF货型 / CR400AF客货型
515,3,"513,514,515",CR400AF万圣节客型 / CR400AF万圣节货型 / CR400AF万圣节客货型
518,3,"516,517,518",CR400AF圣诞节客型 / CR400AF圣诞节货型 / CR400AF圣诞节客货型
519,1,519,CR400BF客货型
522,3,"520,521,522",CR400AF春节涂装客型 / CR400AF春节涂装货型 / CR400AF春节涂装客货型
525,3,"523,524,525",2017生肖涂装客型 / 2017生肖涂装货型 / 2017生肖涂装客货型
528,3,"526,527,528",德国TR-09客型 / 德国TR-09货型 / 德国TR-09客货型
531,3,"529,530,531",英铁Class395客运型 / 英铁Class395货运型 / 英铁Class395客货型
534,3,"532,533,534",晋龙号劳动节涂装客运型 / 晋龙号劳动节涂装货运型 / 晋龙号劳动节涂装客货型
537,3,"535,536,537",CRH2-2296动车组客运型 / CRH2-2296动车组货运型 / CRH2-2296动车组客货型
540,3,"538,539,540",新干线E3客运型 / 新干线E3货运型 / 新干线E3客货型
543,3,"541,542,543",CR400BF八一涂装客运型 / CR400BF八一涂装货运型 / CR400BF八一涂装客货型
546,3,"544,545,546",MLU001磁浮列车客运型 / MLU001磁浮列车货运型 / MLU001磁浮列车客货型
549,3,"547,548,549",复兴号客运型 / 复兴号货运型 / 复兴号客货型
552,3,"550,551,552",复兴号国庆涂装客运型 / 复兴号国庆涂装货运型 / 复兴号国庆涂装客货型
555,3,"553,554,555",长沙磁悬浮客运型 / 长沙磁悬浮货运型 / 长沙磁悬浮客货型
558,3,"556,557,558",E657系电车客运型 / E657系电车货运型 / E657系电车客货型
561,3,"559,560,561",HXN5330型内燃机车客运型 / HXN5330型内燃机车货运型 / HXN5330型内燃机车客货型
564,3,"562,563,564",西门子Velaro RUS CHS8客运型 / 西门子Velaro RUS CHS8货运型 / 西门子Velaro RUS CHS8客货型
567,3,"565,566,567",狗年生肖火车客运型 / 狗年生肖火车货运型 / 狗年生肖火车客货型
570,3,"568,569,570",大力士客运型 / 大力士货运型 / 大力士客货型
573,3,"571,572,573",KTX2客运型 / KTX2货运型 / KTX2客货型
576,3,"574,575,576",CRH2-168A动车组客运型 / CRH2-168A动车组货运型 / CRH2-168A动车组客货型
579,3,"577,578,579",端午龙舟火车客运型 / 端午龙舟火车货运型 / 端午龙舟火车客货型
582,3,"580,581,582",世界杯涂装火车客运型 / 世界杯涂装火车货运型 / 世界杯涂装火车客货型
585,3,"583,584,585",成田特快E259客运型 / 成田特快E259货运型 / 成田特快E259客货型
588,3,"586,587,588",2018中秋涂装客运型 / 2018中秋涂装货运型 / 2018中秋涂装客货型
591,3,"589,590,591",2018国庆涂装客运型 / 2018国庆涂装货运型 / 2018国庆涂装客货型
594,3,"592,593,594",2018双十一涂装客运型 / 2018双十一涂装货运型 / 2018双十一涂装客货型
597,3,"595,596,597",2018圣诞涂装客运型 / 2018圣诞涂装货运型 / 2018圣诞涂装客货型
598,3,"598,605,606",CR200J型复兴号动车组客货型 / CR200J型复兴号动车组货运型 / CR200J型复兴号动车组客运型
601,3,"599,600,601",2019春节涂装客运型 / 2019春节涂装货运型 / 2019春节涂装客货型
604,3,"602,603,604",E655皇室专列客运型 / E655皇室专列货运型 / E655皇室专列客货型
609,3,"607,608,609",THSR 700T客运型 / THSR 700T货运型 / THSR 700T客货型
612,3,"610,611,612",SUNRISE客运型 / SUNRISE货运型 / SUNRISE客货型
615,3,"613,614,615",雪国列车客运型 / 雪国列车货运型 / 雪国列车客货型
618,3,"616,617,618",OUIGO客运型 / OUIGO货运型 / OUIGO客货型
621,3,"619,620,621",2019五一涂装客运型 / 2019五一涂装货运型 / 2019五一涂装客货型
624,3,"622,623,624",HXN5321型内燃机车客运型 / HXN5321型内燃机车货运型 / HXN5321型内燃机车客货型
627,3,"625,626,627",瑞丰号客运型 / 瑞丰号货运型 / 瑞丰号客货型
630,3,"628,629,630",水晶景观客运型 / 水晶景观货运型 / 水晶景观客货型
633,3,"631,632,633",2019八一涂装客运型 / 2019八一涂装货运型 / 2019八一涂装客货型
634,3,"634,635,636",TGV Lyria  客运型 / TGV Lyria 货运型 / TGV Lyria  客货型
639,3,"637,638,639",2019中秋涂装客运型 / 2019中秋涂装货运型 / 2019中秋涂装客货型
642,3,"640,641,642",2019国庆涂装客运型 / 2019国庆涂装货运型 / 2019国庆涂装客货型
645,3,"643,644,645",2019万圣节涂装客运型 / 2019万圣节涂装货运型 / 2019万圣节涂装客货型
648,3,"646,647,648",2020元旦涂装客运型 / 2020元旦涂装货运型 / 2020元旦涂装客货型
651,3,"649,650,651",四季岛号客运型 / 四季岛号货运型 / 四季岛号客货型
654,3,"652,653,654",2020鼠年涂装客运型 / 2020鼠年涂装货运型 / 2020鼠年涂装客货型
657,3,"655,656,657",熊猫空铁客运型 / 熊猫空铁货运型 / 熊猫空铁客货型
660,3,"658,659,660",JR九州某列车客运型 / JR九州某列车货运型 / JR九州某列车客货型
663,3,"661,662,663",2020五一涂装客运型 / 2020五一涂装货运型 / 2020五一涂装客货型
666,3,"664,665,666",CR300BF蓝色涂装客运型 / CR300BF蓝色涂装货运型 / CR300BF蓝色涂装客货型
669,3,"667,668,669",CRH2-043A动车组涂装客运型 / CRH2-043A动车组涂装货运型 / CRH2-043A动车组涂装客货型
672,3,"670,671,672",2020端午节涂装客运型 / 2020端午节涂装货运型 / 2020端午节涂装客货型
675,3,"673,674,675",E353系超级梓号客运型 / E353系超级梓号货运型 / E353系超级梓号客货型
678,3,"676,677,678",九州七星号客运型 / 九州七星号货运型 / 九州七星号客货型
681,3,"679,680,681",中国磁悬浮实验型国庆涂装客运型 / 中国磁悬浮实验型国庆涂装货运型 / 中国磁悬浮实验型国庆涂装客货型
684,3,"682,683,684",2020中秋涂装高速列车客运型 / 2020中秋涂装高速列车货运型 / 2020中秋涂装高速列车客货型
687,3,"685,686,687",雪月花号客运型 / 雪月花号货运型 / 雪月花号客货型
690,3,"688,689,690",阿苏男孩号客运型 / 阿苏男孩号货运型 / 阿苏男孩号客货型
693,3,"691,692,693",2020圣诞涂装客运型 / 2020圣诞涂装货运型 / 2020圣诞涂装客货型
696,3,"694,695,696",2021牛年生肖客运型 / 2021牛年生肖货运型 / 2021牛年生肖客货型
699,3,"697,698,699",陕煤号电力机车客运型 / 陕煤号电力机车货运型 / 陕煤号电力机车客货型
702,3,"700,701,702",五菱宏光MINIEV客运型 / 五菱宏光MINIEV货运型 / 五菱宏光MINIEV客货型
705,3,"703,704,705",洲际高速列车客运型 / 洲际高速列车货运型 / 洲际高速列车客货型
708,3,"706,707,708",中国磁悬浮实验型客运型 / 中国磁悬浮实验型货运型 / 中国磁悬浮实验型客货型
711,3,"709,710,711",跨国互联互通高速列车客运型 / 跨国互联互通高速列车货运型 / 跨国互联互通高速列车客货型
714,3,"712,713,714",红巨人铁路起重机客运型 / 红巨人铁路起重机货运型 / 红巨人铁路起重机客货型
717,3,"715,716,717",HXN5320内燃机车客运型 / HXN5320内燃机车货运型 / HXN5320内燃机车客货型
720,3,"718,719,720",特急Revaty500客运型 / 特急Revaty500货运型 / 特急Revaty500客货型
723,3,"721,722,723",仙后座高速列车客运型 / 仙后座高速列车货运型 / 仙后座高速列车客货型
726,3,"724,725,726",2021中秋涂装客运型 / 2021中秋涂装货运型 / 2021中秋涂装客货型
729,3,"727,728,729",2021国庆涂装客运型 / 2021国庆涂装货运型 / 2021国庆涂装客货型
732,3,"730,731,732",HXN5C内燃机车客运型 / HXN5C内燃机车货运型 / HXN5C内燃机车客货型
735,3,"733,734,735",天狼星号客运型 / 天狼星号货运型 / 天狼星号客货型
738,3,"736,737,738",2021圣诞节号客运型 / 2021圣诞节号货运型 / 2021圣诞节号客货型
741,3,"739,740,741",神崋号电力机车客运型 / 神崋号电力机车货运型 / 神崋号电力机车客货型
744,3,"742,743,744",2022虎年涂装客运型 / 2022虎年涂装货运型 / 2022虎年涂装客货型
747,3,"745,746,747",小玉号电力机车客运型 / 小玉号电力机车货运型 / 小玉号电力机车客货型
750,3,"748,749,750",TGV PSE 客运型 / TGV PSE 货运型 / TGV PSE 客货型
753,3,"751,752,753",费城不锈钢双层列车客运型 / 费城不锈钢双层列车货运型 / 费城不锈钢双层列车客货型
756,3,"754,755,756",埃维利亚自由号客运型 / 埃维利亚自由号货运型 / 埃维利亚自由号客货型
759,3,"757,758,759",蒙特利尔双层客运型 / 蒙特利尔双层货运型 / 蒙特利尔双层客货型
762,3,"760,761,762",光明线号客运型 / 光明线号货运型 / 光明线号客货型
765,3,"763,764,765",INDIAN-PACIFIC号客运型 / INDIAN-PACIFIC号货运型 / INDIAN-PACIFIC号客货型
768,3,"766,767,768",2022国庆涂装客运型 / 2022国庆涂装货运型 / 2022国庆涂装客货型
771,3,"769,770,771",兴国号客运型 / 兴国号货运型 / 兴国号客货型
774,3,"772,773,774",冰川列车客运型 / 冰川列车货运型 / 冰川列车客货型
777,3,"775,776,777",机电混动力调车客运型 / 机电混动力调车货运型 / 机电混动力调车客货型
780,3,"778,779,780",2022圣诞节涂装客运型 / 2022圣诞节涂装货运型 / 2022圣诞节涂装客货型
783,3,"781,782,783",中国龙中速磁悬浮客运型 / 中国龙中速磁悬浮货运型 / 中国龙中速磁悬浮客货型
786,3,"784,785,786",2023兔年涂装客运型 / 2023兔年涂装货运型 / 2023兔年涂装客货型
789,3,"787,788,789",中速磁悬浮客运型 / 中速磁悬浮货运型 / 中速磁悬浮客货型
792,3,"790,791,792",秦旅山海号客运型 / 秦旅山海号货运型 / 秦旅山海号客货型
795,3,"793,794,795",四川山地轨道交通客运型 / 四川山地轨道交通货运型 / 四川山地轨道交通客货型
798,3,"796,797,798",2023五一涂装客运型 / 2023五一涂装货运型 / 2023五一涂装客货型
801,3,"799,800,801",小田急70000客运型 / 小田急70000货运型 / 小田急70000客货型
804,3,"802,803,804",纳帕酒乡火车客运型 / 纳帕酒乡火车货运型 / 纳帕酒乡火车客货型
807,3,"805,806,807",清远磁悬浮列车客运型 / 清远磁悬浮列车货运型 / 清远磁悬浮列车客货型
810,3,"808,809,810",瑞雪迎春复兴号客运型 / 瑞雪迎春复兴号货运型 / 瑞雪迎春复兴号客货型
813,3,"811,812,813",36+3特快列车客运型 / 36+3特快列车货运型 / 36+3特快列车客货型
816,3,"814,815,816",极光夜高速列车客运型 / 极光夜高速列车货运型 / 极光夜高速列车客货型
819,3,"817,818,819",英国皇家号列车客运型 / 英国皇家号列车货运型 / 英国皇家号列车客货型
822,3,"820,821,822",新型2ES7电力机车客运型 / 新型2ES7电力机车货运型 / 新型2ES7电力机车客货型
825,3,"823,824,825",西门子Desiro HC双层列车客运型 / 西门子Desiro HC双层列车货运型 / 西门子Desiro HC双层列车客货型
828,3,"826,827,828",2024龙年涂装客运型 / 2024龙年涂装货运型 / 2024龙年涂装客货型
831,3,"829,830,831",悉尼双层列车客运型 / 悉尼双层列车货运型 / 悉尼双层列车客货型
832,1,832,DF4008内燃机车货运型
833,1,833,DF4404内燃机车货运型
834,1,834,DF8448内燃机车货运型
837,3,"835,836,837",必和必拓铁矿火车客运型 / 必和必拓铁矿火车货运型 / 必和必拓铁矿火车客货型
840,3,"838,839,840",波兰 Impuls2列车客运型 / 波兰 Impuls2列车货运型 / 波兰 Impuls2列车客货型
843,3,"841,842,843",伯尔尼纳快车客运型 / 伯尔尼纳快车货运型 / 伯尔尼纳快车客货型
846,3,"844,845,846",富士山观景特快列车客运型 / 富士山观景特快列车货运型 / 富士山观景特快列车客货型
849,3,"847,848,849",澜沧号动车客运型 / 澜沧号动车货运型 / 澜沧号动车客货型
852,3,"850,851,852",钢轨打磨车客运型 / 钢轨打磨车货运型 / 钢轨打磨车客货型
855,3,"853,854,855",莫斯科2020列车客运型 / 莫斯科2020列车货运型 / 莫斯科2020列车客货型
858,3,"856,857,858",EMD AEM-7型电力机车客运型 / EMD AEM-7型电力机车货运型 / EMD AEM-7型电力机车客货型
861,3,"859,860,861",400系新型电车客运型 / 400系新型电车货运型 / 400系新型电车客货型
864,3,"862,863,864",Travca机车客运型 / Travca机车货运型 / Travca机车客货型
867,3,"865,866,867",玲龙号磁浮列车客运型 / 玲龙号磁浮列车货运型 / 玲龙号磁浮列车客货型
870,3,"868,869,870",瑞士联邦铁路 BR193客运型 / 瑞士联邦铁路 BR193货运型 / 瑞士联邦铁路 BR193客货型
873,3,"871,872,873",AeroLiner3000客运型 / AeroLiner3000货运型 / AeroLiner3000客货型
876,3,"874,875,876",2025蛇年涂装客运型 / 2025蛇年涂装货运型 / 2025蛇年涂装客货型
879,3,"877,878,879",俄罗斯ESh2客运型 / 俄罗斯ESh2货运型 / 俄罗斯ESh2客货型
882,3,"880,881,882",飞龙复兴号客运型 / 飞龙复兴号货运型 / 飞龙复兴号客货型
885,3,"883,884,885",金色山口列车客运型 / 金色山口列车货运型 / 金色山口列车客货型
888,3,"886,887,888",KCIC400AF动车组客运型 / KCIC400AF动车组货运型 / KCIC400AF动车组客货型
891,3,"889,890,891",欧洲之星城际列车客运型 / 欧洲之星城际列车货运型 / 欧洲之星城际列车客货型
894,3,"892,893,894",孔雀石3ES8型电力机车客运型 / 孔雀石3ES8型电力机车货运型 / 孔雀石3ES8型电力机车客货型
897,3,"895,896,897",全自动智慧市域列车客运型 / 全自动智慧市域列车货运型 / 全自动智慧市域列车客货型
900,3,"898,899,900",CoradiaStream列车客运型 / CoradiaStream列车货运型 / CoradiaStream列车客货型
903,3,"901,902,903",海空蓝复兴号客运型 / 海空蓝复兴号货运型 / 海空蓝复兴号客货型
906,3,"904,905,906",神24电力机车客运型 / 神24电力机车货运型 / 神24电力机车客运型
909,3,"907,908,909",台铁emu3000城际列车客运型 / 台铁emu3000城际列车货运型 / 台铁emu3000城际列车客运型
912,3,"910,911,912",Rabe511双层动车组客运型 / Rabe511双层动车组货运型 / Rabe511双层动车组客货型
915,3,"913,914,915",Stadler双层火车客运型 / Stadler双层火车货运型 / Stadler双层火车客货型
918,3,"916,917,918",2026马年涂装客运型 / 2026马年涂装货运型 / 2026马年涂装客货型
921,3,"919,920,921",和合号客运型 / 和合号货运型 / 和合号客货型
924,3,"922,923,924",KTX青龙号客运型 / KTX青龙号货运型 / KTX青龙号客货型
927,3,"925,926,927",MireoPlusH列车客运型 / MireoPlusH列车货运型 / MireoPlusH列车客货型
930,3,"928,929,930",双星4047观光列车客运型 / 双星4047观光列车货运型 / 双星4047观光列车客货型
933,3,"931,932,933",PrimaT8AZ8A客运型 / PrimaT8AZ8A货运型 / PrimaT8AZ8A客货型
936,3,"934,935,936",海岸星光号客运型 / 海岸星光号货运型 / 海岸星光号客货型
939,3,"937,938,939",巴拿马运河观光火车客运型 / 巴拿马运河观光火车货运型 / 巴拿马运河观光火车客货型
942,3,"940,941,942",庞巴迪TALENT2客运型 / 庞巴迪TALENT2货运型 / 庞巴迪TALENT2客货型
5001,3,"5001,5002,5003",西班牙AVE客货型 / 西班牙AVE客型 / 西班牙AVE货型
