载具ID,名称,运输类型,分组字段原值,机头图片,车厢图片,客位编码原值,货位编码原值
316,Regina电力客货型,客货混合型,316,t_314315316.png,x_314315316.png,5,5
317,环球8000客运型,客运型,319,t_317318319.png,,12,0
318,环球8000货运型,货运型,319,t_317318319.png,,0,12
319,环球8000客货型,客货混合型,319,t_317318319.png,,6,6
320,欧洲之星客货型,客货混合型,320,t_320.png,x_320.png,6,6
321,新干线猫耳朵客货型,客货混合型,321,t_321.png,x_321.png,6,6
322,和谐号CRH6客货型,客货混合型,322,t_322.png,x_322.png,7,7
323,和谐号CRH6客型,客运型,322,t_322.png,x_322.png,14,0
324,和谐号CRH6货型,货运型,322,t_322.png,x_322.png,0,14
325,新干线猫耳朵客型,客运型,321,t_321.png,x_321.png,12,0
326,新干线猫耳朵货型,货运型,321,t_321.png,x_321.png,0,12
327,欧洲之星客型,客运型,320,t_320.png,x_320.png,12,0
328,欧洲之星货型,货运型,320,t_320.png,x_320.png,0,12
329,大白鲨系列客货型,客货混合型,329,t_329330331.png,x_329330331.png,6,6
330,大白鲨系列客运型,客运型,329,t_329330331.png,x_329330331.png,12,0
331,大白鲨系列货运型,货运型,329,t_329330331.png,x_329330331.png,0,12
332,B24远程轰炸机客货型,客货混合型,332,t_332.png,,2,2
333,图2远程轰炸机客货型,客货混合型,333,t_333.png,,3,3
334,轰6远程轰炸机客货型,客货混合型,334,t_334.png,,8,7
335,图22烈火轰炸机客货型,客货混合型,335,t_335.png,,8,8
336,美国MP36PH_3S客运型,客运型,338,t_336337338.png,x_336337338.png,13,0
337,美国MP36PH_3S货运型,货运型,338,t_336337338.png,x_336337338.png,0,13
338,美国MP36PH_3S客货型,客货混合型,338,t_336337338.png,x_336337338.png,7,6
339,KTX五一客型,客运型,341,t_339340341.png,x_339340341.png,9,0
340,KTX五一货型,货运型,341,t_339340341.png,x_339340341.png,0,9
341,KTX五一客货,客货混合型,341,t_339340341.png,x_339340341.png,5,4
344,庐山号客运型,客运型,277,t_277.png,,10,0
345,庐山号货运型,货运型,277,t_277.png,,0,10
354,ICE-3客货型,客货混合型,354,t_354.png,x_354.png,7,7
355,韩国HEMU-430X客货型,客货混合型,355,t_355.png,x_355.png,6,7
356,英铁90型电机客货型,客货混合型,356,t_356.png,x_356.png,4,4
357,Russia One机车客货型,客货混合型,357,t_357.png,x_357.png,8,7
358,Kiha281柴油动车客货型,客货混合型,358,t_358.png,x_358.png,4,5
363,美国P42DC柴电机车客货型,客货混合型,363,t_363.png,x_363.png,7,6
370,陆地巡洋舰装甲列车客运型,客运型,372,t_370371372.png,x_370371372.png,14,0
371,陆地巡洋舰装甲列车货运型,货运型,372,t_370371372.png,x_370371372.png,0,14
372,陆地巡洋舰装甲列车客货运型,客货混合型,372,t_370371372.png,x_370371372.png,7,7
373,企业号宇宙战舰客运型,客运型,375,t_373374375.png,,8,0
374,企业号宇宙战舰货运型,货运型,375,t_373374375.png,,0,8
375,企业号宇宙战舰客货运型,客货混合型,375,t_373374375.png,,4,4
376,DD磁悬浮红旗版客运型,客运型,378,t_376377378.png,x_376377378.png,17,0
377,DD磁悬浮红旗版货运型,货运型,378,t_376377378.png,x_376377378.png,0,17
378,DD磁悬浮红旗版客货型,客货混合型,378,t_376377378.png,x_376377378.png,9,8
379,MPIMPXpress柴电机车客运型,客运型,381,t_379380381.png,x_379380381.png,13,0
380,MPIMPXpress柴电机车货运型,货运型,381,t_379380381.png,x_379380381.png,0,13
381,MPIMPXpress柴电机车客货型,客货混合型,381,t_379380381.png,x_379380381.png,5,8
382,宾夕法尼亚GG1电力机车客货型,客货混合型,382,t_382.png,x_382.png,3,3
383,德国ICE-1客货型,客货混合型,383,t_383.png,x_383.png,6,5
388,DD磁悬浮八一涂装版客货型,客货混合型,388,t_388389.png,x_388389.png,9,8
389,DD磁悬浮八一涂装版货型,货运型,388,t_388389.png,x_388389.png,0,17
391,轰六中型轰炸机客货运型,客货混合型,391,t_391392.png,,7,8
392,轰六中型轰炸机货运型,货运型,391,t_391392.png,,0,15
394,Italo伊塔洛客货型,客货混合型,394,t_394.png,x_394.png,7,7
397,运8运输机客货型,客货混合型,397,t_397.png,,6,6
400,美国Acela客货型,客货混合型,400,t_400.png,x_400.png,5,5
410,XC36客运型,客运型,412,t_410411412.png,x_410411412.png,10,0
411,XC36货运型,货运型,412,t_410411412.png,x_410411412.png,0,10
412,XC36客货型,客货混合型,412,t_410411412.png,x_410411412.png,5,5
413,小田急7000客货型,客货混合型,413,t_413.png,x_413.png,7,6
414,庞巴迪TALENT客货型,客货混合型,414,t_414.png,x_414.png,7,7
415,JR500电力机车客货型,客货混合型,415,t_415.png,x_415.png,8,7
416,台铁TEMU2000客货型机车,客货混合型,416,t_416.png,x_416.png,8,8
417,CKD9B柴油机车客型,客运型,419,t_417148149.png,x_417148149.png,10,0
418,CKD9B柴油机车货型,货运型,419,t_417148149.png,x_417148149.png,0,10
419,CKD9B柴油机车客货型,客货混合型,419,t_417148149.png,x_417148149.png,5,5
420,欧洲之星美洲版客型,客运型,422,t_420421422.png,x_420421422.png,11,0
421,欧洲之星美洲版货型,货运型,422,t_420421422.png,x_420421422.png,0,11
422,欧洲之星美洲版客货型,客货混合型,422,t_420421422.png,x_420421422.png,5,6
423,英铁374电力动车客运,客运型,425,t_423424425.png,x_423424425.png,13,0
424,英铁374电力动车货运,货运型,425,t_423424425.png,x_423424425.png,0,13
425,英铁374电力动车客货运,客货混合型,425,t_423424425.png,x_423424425.png,6,7
426,图4轰炸机客货型,客货混合型,426,t_426.png,,8,7
427,CIT500客货型,客货混合型,427,t_427.png,x_427.png,6,7
428,新干线Win350客货型,客货混合型,428,t_428.png,x_428.png,7,7
429,春城号客货型,客货混合型,429,t_429.png,x_429.png,8,8
430,轰5轰炸机客型,客运型,432,t_430431432.png,,11,0
431,轰5轰炸机货型,货运型,432,t_430431432.png,,0,11
432,轰5轰炸机客货型,客货混合型,432,t_430431432.png,,6,5
433,HXN5型抗战纪念客货型,客货混合型,433,t_433.png,x_433.png,8,8
438,新干线E7客货型,客货混合型,438,t_438.png,x_438.png,7,7
439,晋龙号中秋版客货型,客货混合型,439,t_439440441.png,x_439440441.png,6,6
440,晋龙号中秋版纯客型,客运型,439,t_439440441.png,x_439440441.png,12,0
441,晋龙号中秋版纯货型,货运型,439,t_439440441.png,x_439440441.png,0,12
442,中原之星国庆版客货型,客货混合型,442,t_442443444.png,x_442443444.png,7,7
443,中原之星国庆版纯客型,客运型,442,t_442443444.png,x_442443444.png,14,0
444,中原之星国庆版纯货型,货运型,442,t_442443444.png,x_442443444.png,0,14
445,ETS动车客货型,客货混合型,445,t_445.png,x_445.png,8,8
446,水星号客货型,客货混合型,446,t_446447.png,x_446447.png,8,8
447,水星号客运型,客运型,446,t_446447.png,x_446447.png,16,0
448,小田急7000客运型,客运型,413,t_413.png,x_413.png,13,0
449,小田急7000货运型,货运型,413,t_413.png,x_413.png,0,13
450,英铁90型电机客运型,客运型,356,t_356.png,x_356.png,8,0
451,英铁90型电机货运型,货运型,356,t_356.png,x_356.png,0,8
452,特急Rapi.t新吉恩版客货型,客货混合型,452,t_452.png,x_452.png,8,8
453,日本国铁机器猫客型,客运型,455,t_453454455.png,x_453454455.png,13,0
454,日本国铁机器猫货型,货运型,455,t_453454455.png,x_453454455.png,0,13
455,日本国铁机器猫客货型,客货混合型,455,t_453454455.png,x_453454455.png,6,7
456,嗨贼狗头版客货型,客货混合型,456,t_456.png,x_456.png,3,2
457,寰宇之星国旗版客货型,客货混合型,457,t_457.png,,4,4
458,ETS圣诞版客型,客运型,460,t_458459460.png,x_458459460.png,14,0
459,ETS圣诞版货型,货运型,460,t_458459460.png,x_458459460.png,0,14
460,ETS圣诞版客货型,客货混合型,460,t_458459460.png,x_458459460.png,7,7
461,JR九州787特急客货型 ,客货混合型,461,t_461.png,x_461.png,9,9
462,意大利客货型,客货混合型,462,t_462.png,x_462.png,8,9
463,CRH5玫瑰号客货型,客货混合型,463,t_463.png,x_463.png,8,8
464,小田急元宵涂装客货型,客货混合型,464,t_464.png,x_464.png,7,7
465,HXN5型抗战纪念客型,客运型,433,t_433.png,x_433.png,16,0
466,HXN5型抗战纪念货型,货运型,433,t_433.png,x_433.png,0,16
467,JR九州787特急客型 ,客运型,461,t_461.png,x_461.png,18,0
468,JR九州787特急货型 ,货运型,461,t_461.png,x_461.png,0,18
469,春城号猴年新春版客型,客运型,471,t_469470471.png,x_469470471.png,13,0
470,春城号猴年新春版货型,货运型,471,t_469470471.png,x_469470471.png,0,13
471,春城号猴年新春版客货型,客货混合型,471,t_469470471.png,x_469470471.png,6,7
472,窜天猴吉祥号客运型,客运型,474,t_472473474.png,x_472473474.png,14,0
473,窜天猴吉祥号货运型,货运型,474,t_472473474.png,x_472473474.png,0,14
474,窜天猴吉祥号客货型,客货混合型,474,t_472473474.png,x_472473474.png,7,7
475,岛风近铁电车客货型,客货混合型,475,t_475.png,x_475.png,8,8
476,HXN5型内燃机车客型,客运型,478,t_476477478.png,x_476477478.png,14,0
477,HXN5型内燃机车货型,货运型,478,t_476477478.png,x_476477478.png,0,14
478,HXN5型内燃机车客货型,客货混合型,478,t_476477478.png,x_476477478.png,7,7
479,SJ2000客型,客运型,481,t_479480481.png,x_479480481.png,15,0
480,SJ2000货型,货运型,481,t_479480481.png,x_479480481.png,0,15
481,SJ2000客货型,客货混合型,481,t_479480481.png,x_479480481.png,8,7
482,晋龙号客型,客运型,484,t_482483484.png,x_482483484.png,14,0
483,晋龙号货型,货运型,484,t_482483484.png,x_482483484.png,0,14
484,晋龙号客货型,客货混合型,484,t_482483484.png,x_482483484.png,7,7
485,中原之星客型,客运型,487,t_485486487.png,x_485486487.png,12,0
486,中原之星货型,货运型,487,t_485486487.png,x_485486487.png,0,12
487,中原之星客货型,客货混合型,487,t_485486487.png,x_485486487.png,6,6
488,由布院之森客货型,客货混合型,488,t_488.png,x_488.png,8,8
489,甲铁城蒸汽列车客型,客运型,491,t_489490491.png,x_489490491.png,14,0
490,甲铁城蒸汽列车货型,货运型,491,t_489490491.png,x_489490491.png,0,14
491,甲铁城蒸汽列车客货型,客货混合型,491,t_489490491.png,x_489490491.png,7,7
492,意大利ETR500客型,客运型,494,t_492493494.png,x_492493494.png,12,0
493,意大利ETR500货型,货运型,494,t_492493494.png,x_492493494.png,0,12
494,意大利ETR500客货型,客货混合型,494,t_492493494.png,x_492493494.png,6,6
495,CR400AF奥运涂装客型,客运型,497,t_495496497.png,x_495496497.png,14,0
496,CR400AF奥运涂装货型,货运型,497,t_495496497.png,x_495496497.png,0,14
497,CR400AF奥运涂装客货型,客货混合型,497,t_495496497.png,x_495496497.png,7,7
498,CR400AF八一涂装客运型,客运型,500,t_498499550.png,x_498499550.png,13,0
499,CR400AF八一涂装货运型,货运型,500,t_498499550.png,x_498499550.png,0,13
500,CR400AF八一涂装客货型,客货混合型,500,t_498499550.png,x_498499550.png,7,6
501,狗头版客货型,客货混合型,501,t_501.png,x_501.png,4,3
502,新干线EVA客货型,客货混合型,502,t_502.png,x_502.png,8,9
503,ITX新村号客货型,客货混合型,503,t_503.png,x_503.png,7,7
506,CR400AF中秋月涂装客货型,客货混合型,406,t_504505506.png,x_504505506.png,8,8
507,CR400BF国庆涂装客运型,客运型,509,t_507508509.png,x_507508509.png,16,0
508,CR400BF国庆涂装货运型,货运型,509,t_507508509.png,x_507508509.png,0,16
509,CR400BF国庆涂装客货型,客货混合型,509,t_507508509.png,x_507508509.png,8,8
510,CR400AF客型,客运型,512,t_510511512.png,x_510511512.png,14,0
511,CR400AF货型,货运型,512,t_510511512.png,x_510511512.png,0,14
512,CR400AF客货型,客货混合型,512,t_510511512.png,x_510511512.png,7,7
513,CR400AF万圣节客型,客运型,515,t_513514515.png,x_513514515.png,14,0
514,CR400AF万圣节货型,货运型,515,t_513514515.png,x_513514515.png,0,14
515,CR400AF万圣节客货型,客货混合型,515,t_513514515.png,x_513514515.png,7,7
516,CR400AF圣诞节客型,客运型,518,t_516517518.png,x_516517518.png,15,0
517,CR400AF圣诞节货型,货运型,518,t_516517518.png,x_516517518.png,0,15
518,CR400AF圣诞节客货型,客货混合型,518,t_516517518.png,x_516517518.png,8,7
519,CR400BF客货型,客货混合型,519,t_519.png,x_519.png,8,7
520,CR400AF春节涂装客型,客运型,522,t_520521522.png,,14,0
521,CR400AF春节涂装货型,货运型,522,t_520521522.png,,0,14
522,CR400AF春节涂装客货型,客货混合型,522,t_520521522.png,,7,7
523,2017生肖涂装客型,客运型,525,t_523524525.png,,16,0
524,2017生肖涂装货型,货运型,525,t_523524525.png,,0,16
525,2017生肖涂装客货型,客货混合型,525,t_523524525.png,,8,8
526,德国TR-09客型,客运型,528,t_526527528.png,x_526527528.png,14,0
527,德国TR-09货型,货运型,528,t_526527528.png,x_526527528.png,0,14
528,德国TR-09客货型,客货混合型,528,t_526527528.png,x_526527528.png,7,7
529,英铁Class395客运型,客运型,531,t_529530531.png,x_529530531.png,16,0
530,英铁Class395货运型,货运型,531,t_529530531.png,x_529530531.png,0,16
531,英铁Class395客货型,客货混合型,531,t_529530531.png,x_529530531.png,8,8
532,晋龙号劳动节涂装客运型,客运型,534,t_532533534.png,x_532533534.png,14,0
533,晋龙号劳动节涂装货运型,货运型,534,t_532533534.png,x_532533534.png,0,14
534,晋龙号劳动节涂装客货型,客货混合型,534,t_532533534.png,x_532533534.png,7,7
535,CRH2-2296动车组客运型,客运型,537,t_535536537.png,x_535536537.png,17,0
536,CRH2-2296动车组货运型,货运型,537,t_535536537.png,x_535536537.png,0,17
537,CRH2-2296动车组客货型,客货混合型,537,t_535536537.png,x_535536537.png,9,8
538,新干线E3客运型,客运型,540,t_538539540.png,x_538539540.png,16,0
539,新干线E3货运型,货运型,540,t_538539540.png,x_538539540.png,0,16
540,新干线E3客货型,客货混合型,540,t_538539540.png,x_538539540.png,8,8
541,CR400BF八一涂装客运型,客运型,543,t_541542543.png,x_541542543.png,16,0
542,CR400BF八一涂装货运型,货运型,543,t_541542543.png,x_541542543.png,0,16
543,CR400BF八一涂装客货型,客货混合型,543,t_541542543.png,x_541542543.png,8,8
544,MLU001磁浮列车客运型,客运型,546,t_544545546.png,x_544545546.png,17,0
545,MLU001磁浮列车货运型,货运型,546,t_544545546.png,x_544545546.png,0,17
546,MLU001磁浮列车客货型,客货混合型,546,t_544545546.png,x_544545546.png,9,8
547,复兴号客运型,客运型,549,t_547548549.png,x_547548549.png,18,0
548,复兴号货运型,货运型,549,t_547548549.png,x_547548549.png,0,18
549,复兴号客货型,客货混合型,549,t_547548549.png,x_547548549.png,9,9
550,复兴号国庆涂装客运型,客运型,552,t_550551552.png,x_550551552.png,16,0
551,复兴号国庆涂装货运型,货运型,552,t_550551552.png,x_550551552.png,0,16
552,复兴号国庆涂装客货型,客货混合型,552,t_550551552.png,x_550551552.png,8,8
553,长沙磁悬浮客运型,客运型,555,t_553554555.png,x_553554555.png,20,0
554,长沙磁悬浮货运型,货运型,555,t_553554555.png,x_553554555.png,0,20
555,长沙磁悬浮客货型,客货混合型,555,t_553554555.png,x_553554555.png,10,10
556,E657系电车客运型,客运型,558,t_556557558.png,x_556557558.png,18,0
557,E657系电车货运型,货运型,558,t_556557558.png,x_556557558.png,0,18
558,E657系电车客货型,客货混合型,558,t_556557558.png,x_556557558.png,9,9
559,HXN5330型内燃机车客运型,客运型,561,t_559560561.png,x_559560561.png,17,0
560,HXN5330型内燃机车货运型,货运型,561,t_559560561.png,x_559560561.png,0,17
561,HXN5330型内燃机车客货型,客货混合型,561,t_559560561.png,x_559560561.png,9,8
562,西门子Velaro RUS CHS8客运型,客运型,564,t_562563564.png,x_562563564.png,18,0
563,西门子Velaro RUS CHS8货运型,货运型,564,t_562563564.png,x_562563564.png,0,18
564,西门子Velaro RUS CHS8客货型,客货混合型,564,t_562563564.png,x_562563564.png,9,9
565,狗年生肖火车客运型,客运型,567,t_565566567.png,x_565566567.png,17,0
566,狗年生肖火车货运型,货运型,567,t_565566567.png,x_565566567.png,0,17
567,狗年生肖火车客货型,客货混合型,567,t_565566567.png,x_565566567.png,9,8
568,大力士客运型,客运型,570,t_568569570.png,x_568569570.png,19,0
569,大力士货运型,货运型,570,t_568569570.png,x_568569570.png,0,19
570,大力士客货型,客货混合型,570,t_568569570.png,x_568569570.png,10,9
